sequence_number,type,description,away_score,home_score,period,clock,scoring_play,team_id,timestamp_utc
250,Jumper MISSED by North Dakota St.'s Damari Wheeler-Thomas,Jumper MISSED by North Dakota St.'s Damari Wheeler-Thomas,20,50,1,00:00,False,1641,2025-11-22T01:23:34.214440
251,North Dakota St. gets a rebound from a dead ball.,North Dakota St. gets a rebound from a dead ball.,20,50,1,00:00,False,1641,2025-11-22T01:23:34.214443
252,End of 1st Half.,End of 1st Half.,20,50,1,00:00,False,1679,2025-11-22T01:23:34.214446
253,Subbing out for St. Scholastica-Jayden Brown,Subbing out for St. Scholastica-Jayden Brown,20,50,2,20:00,False,1679,2025-11-22T01:23:34.214450
254,Subbing out for St. Scholastica-Hayden Kloos,Subbing out for St. Scholastica-Hayden Kloos,20,50,2,20:00,False,1679,2025-11-22T01:23:34.214453
255,Subbing in for St. Scholastica-Koy Nelson,Subbing in for St. Scholastica-Koy Nelson,20,50,2,20:00,False,1679,2025-11-22T01:23:34.214455
256,Subbing in for St. Scholastica-Aaron Keykal,Subbing in for St. Scholastica-Aaron Keykal,20,50,2,20:00,False,1679,2025-11-22T01:23:34.214458
257,Personal Foul on North Dakota St.'s Trevian Carson (Koy Nelson draws the foul),Personal Foul on North Dakota St.'s Trevian Carson (Koy Nelson draws the foul),20,50,2,19:52,False,1641,2025-11-22T01:23:34.214461
258,Layup MISSED by St. Scholastica's Aaron Keykal,Layup MISSED by St. Scholastica's Aaron Keykal,20,50,2,19:41,False,1679,2025-11-22T01:23:34.214465
259,Block by North Dakota St.'s Noah Feddersen,Block by North Dakota St.'s Noah Feddersen,20,50,2,19:41,False,1641,2025-11-22T01:23:34.214468
260,Defensive rebound by North Dakota St.'s Markhi Strickland,Defensive rebound by North Dakota St.'s Markhi Strickland,20,50,2,19:37,False,1641,2025-11-22T01:23:34.214471
261,Layup by North Dakota St.'s Markhi Strickland,Layup by North Dakota St.'s Markhi Strickland,20,52,2,19:31,False,1641,2025-11-22T01:23:34.214474
262,2 Pointer MISSED by North Dakota St.'s North Dakota St.,2 Pointer MISSED by North Dakota St.'s North Dakota St.,20,50,2,19:31,False,1641,2025-11-22T01:23:34.214477
263,Assist by North Dakota St.'s Trevian Carson,Assist by North Dakota St.'s Trevian Carson,20,52,2,19:31,False,1641,2025-11-22T01:23:34.214479
264,Personal Foul on St. Scholastica's Ben Raymond (Markhi Strickland draws the foul),Personal Foul on St. Scholastica's Ben Raymond (Markhi Strickland draws the foul),20,52,2,19:31,False,1679,2025-11-22T01:23:34.214482
265,Free Throw  by North Dakota St.'s Markhi Strickland,Free Throw  by North Dakota St.'s Markhi Strickland,20,53,2,19:31,False,1641,2025-11-22T01:23:34.214485
